$ (A) A17 — o p95 da troca de música, ANTES × DEPOIS na MESMA sessão

REGRA (V1-PR3-PRECHECK §15.2): o "depois" se mede na mesma sessão que refaz o "antes",
no mesmo AVD, com o mesmo instrumento (N1-anexos/PR4-a17-tempos.txt): setlist de 60
(UX-AUDIT ESTRESSE, 4340bf95) aberta na música 1, 59 toques no centro da borda-avancar
(2368, 723), sleep 0,6 s, lendo `nav n=X/60 … t=<ms>` do logcat. Rede cortada e provada
por ping ANTES de abrir o app nas duas rodadas (anexo G). Conta de audit.

ANTES  = main 6697285, dev client cb1b5fea… (o de hoje), Metro do checkout principal
DEPOIS = v1/pr3-svg-icones em 531f17b (commit 4), dev client c0c1ab51…, Metro do worktree

===== A1 — ANTES =====
  OCTAVIA: nav n=30/60 setlist=4340bf95 t=25
  OCTAVIA: nav n=31/60 setlist=4340bf95 t=34
  OCTAVIA: nav n=32/60 setlist=4340bf95 t=24
  OCTAVIA: nav n=33/60 setlist=4340bf95 t=24
  OCTAVIA: nav n=34/60 setlist=4340bf95 t=24
  OCTAVIA: nav n=35/60 setlist=4340bf95 t=26
  OCTAVIA: nav n=36/60 setlist=4340bf95 t=23
  OCTAVIA: nav n=37/60 setlist=4340bf95 t=23
  OCTAVIA: nav n=38/60 setlist=4340bf95 t=24
  OCTAVIA: nav n=39/60 setlist=4340bf95 t=23
  OCTAVIA: nav n=40/60 setlist=4340bf95 t=23
  OCTAVIA: nav n=41/60 setlist=4340bf95 t=26
  OCTAVIA: nav n=42/60 setlist=4340bf95 t=25
  OCTAVIA: nav n=43/60 setlist=4340bf95 t=29
  OCTAVIA: nav n=44/60 setlist=4340bf95 t=79
  OCTAVIA: nav n=45/60 setlist=4340bf95 t=26
  OCTAVIA: nav n=46/60 setlist=4340bf95 t=23
  OCTAVIA: nav n=47/60 setlist=4340bf95 t=26
  OCTAVIA: nav n=48/60 setlist=4340bf95 t=25
  OCTAVIA: nav n=49/60 setlist=4340bf95 t=26
  OCTAVIA: nav n=50/60 setlist=4340bf95 t=24
  OCTAVIA: nav n=51/60 setlist=4340bf95 t=26
  OCTAVIA: nav n=52/60 setlist=4340bf95 t=27
  OCTAVIA: nav n=53/60 setlist=4340bf95 t=25
  OCTAVIA: nav n=54/60 setlist=4340bf95 t=22
  OCTAVIA: nav n=55/60 setlist=4340bf95 t=26
  OCTAVIA: nav n=56/60 setlist=4340bf95 t=26
  OCTAVIA: nav n=57/60 setlist=4340bf95 t=25
  OCTAVIA: nav n=58/60 setlist=4340bf95 t=25
  OCTAVIA: nav n=59/60 setlist=4340bf95 t=24
  OCTAVIA: nav n=60/60 setlist=4340bf95 t=24

===== A4 — as 59 linhas, DEPOIS =====
  OCTAVIA: nav n=2/60 setlist=4340bf95 t=21
  OCTAVIA: nav n=3/60 setlist=4340bf95 t=31
  OCTAVIA: nav n=4/60 setlist=4340bf95 t=20
  OCTAVIA: nav n=5/60 setlist=4340bf95 t=20
  OCTAVIA: nav n=6/60 setlist=4340bf95 t=22
  OCTAVIA: nav n=7/60 setlist=4340bf95 t=21
  OCTAVIA: nav n=8/60 setlist=4340bf95 t=19
  OCTAVIA: nav n=9/60 setlist=4340bf95 t=18
  OCTAVIA: nav n=10/60 setlist=4340bf95 t=17
  OCTAVIA: nav n=11/60 setlist=4340bf95 t=20
  OCTAVIA: nav n=12/60 setlist=4340bf95 t=20
  OCTAVIA: nav n=13/60 setlist=4340bf95 t=18
  OCTAVIA: nav n=14/60 setlist=4340bf95 t=17
  OCTAVIA: nav n=15/60 setlist=4340bf95 t=18
  OCTAVIA: nav n=16/60 setlist=4340bf95 t=21
  OCTAVIA: nav n=17/60 setlist=4340bf95 t=23
  OCTAVIA: nav n=18/60 setlist=4340bf95 t=24
  OCTAVIA: nav n=19/60 setlist=4340bf95 t=19
  OCTAVIA: nav n=20/60 setlist=4340bf95 t=18
  OCTAVIA: nav n=21/60 setlist=4340bf95 t=21
  OCTAVIA: nav n=22/60 setlist=4340bf95 t=18
  OCTAVIA: nav n=23/60 setlist=4340bf95 t=18
  OCTAVIA: nav n=24/60 setlist=4340bf95 t=17
  OCTAVIA: nav n=25/60 setlist=4340bf95 t=19
  OCTAVIA: nav n=26/60 setlist=4340bf95 t=18
  OCTAVIA: nav n=27/60 setlist=4340bf95 t=17
  OCTAVIA: nav n=28/60 setlist=4340bf95 t=19
  OCTAVIA: nav n=29/60 setlist=4340bf95 t=19
  OCTAVIA: nav n=30/60 setlist=4340bf95 t=20
  OCTAVIA: nav n=31/60 setlist=4340bf95 t=27
  OCTAVIA: nav n=32/60 setlist=4340bf95 t=21
  OCTAVIA: nav n=33/60 setlist=4340bf95 t=40
  OCTAVIA: nav n=34/60 setlist=4340bf95 t=17
  OCTAVIA: nav n=35/60 setlist=4340bf95 t=19
  OCTAVIA: nav n=36/60 setlist=4340bf95 t=20
  OCTAVIA: nav n=37/60 setlist=4340bf95 t=18
  OCTAVIA: nav n=38/60 setlist=4340bf95 t=19
  OCTAVIA: nav n=39/60 setlist=4340bf95 t=19
  OCTAVIA: nav n=40/60 setlist=4340bf95 t=18
  OCTAVIA: nav n=41/60 setlist=4340bf95 t=21
  OCTAVIA: nav n=42/60 setlist=4340bf95 t=18
  OCTAVIA: nav n=43/60 setlist=4340bf95 t=17
  OCTAVIA: nav n=44/60 setlist=4340bf95 t=22
  OCTAVIA: nav n=45/60 setlist=4340bf95 t=19
  OCTAVIA: nav n=46/60 setlist=4340bf95 t=21
  OCTAVIA: nav n=47/60 setlist=4340bf95 t=18
  OCTAVIA: nav n=48/60 setlist=4340bf95 t=19
  OCTAVIA: nav n=49/60 setlist=4340bf95 t=20
  OCTAVIA: nav n=50/60 setlist=4340bf95 t=21
  OCTAVIA: nav n=51/60 setlist=4340bf95 t=19
  OCTAVIA: nav n=52/60 setlist=4340bf95 t=16
  OCTAVIA: nav n=53/60 setlist=4340bf95 t=19
  OCTAVIA: nav n=54/60 setlist=4340bf95 t=19
  OCTAVIA: nav n=55/60 setlist=4340bf95 t=19
  OCTAVIA: nav n=56/60 setlist=4340bf95 t=18
  OCTAVIA: nav n=57/60 setlist=4340bf95 t=19
  OCTAVIA: nav n=58/60 setlist=4340bf95 t=21
  OCTAVIA: nav n=59/60 setlist=4340bf95 t=17
  OCTAVIA: nav n=60/60 setlist=4340bf95 t=18
